Job,AI_Int,Coding_Int,Design_Int,Logical_Reasoning,Analytical_Reasoning,Verbal_Reasoning,Math_Reasoning,Coding_Skill,Web_Arch,Data_Mining,Crypto_Focus,Cloud_Ops,Low_Level,DB_Design,System_Opt,Risk_Eval,User_Empathy
Backend Developer,Medium,High,Low,High,High,Medium,Medium,High,High,Medium,Low,Medium,Medium,High,High,Low,Low
Frontend Developer,Low,High,High,Medium,Medium,Medium,Low,High,High,Low,Low,Low,Low,Low,Medium,Low,High
Full Stack Developer,Medium,High,Medium,High,High,Medium,Medium,High,High,Medium,Low,Medium,Medium,Medium,High,Low,Medium
Mobile Application Developer,Low,High,Medium,Medium,Medium,Medium,Low,High,Medium,Low,Low,Low,Medium,Low,Medium,Low,High
DevOps Engineer,Low,High,Low,High,High,Low,Medium,High,Medium,Low,Low,High,High,Medium,High,Medium,Low
Site Reliability Engineer,Low,High,Low,High,High,Low,Medium,High,Medium,Low,Low,High,High,Medium,High,High,Low
Data Engineer,Medium,High,Low,High,High,Low,High,High,Low,High,Low,Medium,Medium,High,High,Low,Low
Machine Learning Engineer,High,High,Low,High,High,Low,High,High,Low,High,Low,Medium,Medium,Medium,High,Low,Low
Data Scientist,High,Medium,Low,High,High,Medium,High,Medium,Low,High,Low,Low,Low,Medium,Medium,Low,Medium
Cloud Architect,Low,High,Low,High,High,Medium,Medium,High,Medium,Low,Low,High,Medium,Medium,High,Medium,Low
Cybersecurity Engineer,Low,High,Low,High,High,Low,Medium,High,Low,Medium,High,Medium,High,Medium,High,High,Low
Embedded Systems Engineer,Low,High,Low,High,High,Low,High,High,Low,Low,Low,Low,High,Low,High,Medium,Low
Quality Assurance Engineer,Low,Medium,Low,High,Medium,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,High,Medium,Low
Systems Architect,Medium,High,Low,High,High,High,Medium,High,Medium,Low,Low,High,Medium,High,High,Medium,Low
Game Developer,Medium,High,High,High,Medium,Low,Medium,High,Medium,Low,Low,Low,Medium,Low,High,Low,Medium
Blockchain Developer,Medium,High,Low,High,High,Low,High,High,Low,Low,High,Medium,High,Medium,High,Medium,Low
Big Data Engineer,Medium,High,Low,High,High,Low,High,High,Low,High,Low,Medium,Medium,High,High,Low,Low
SaaS Developer,Low,High,Medium,High,Medium,Medium,Low,High,High,Low,Low,Medium,Low,Medium,Medium,Low,High
Firmware Engineer,Low,High,Low,High,High,Low,High,High,Low,Low,Low,Low,High,Low,High,Medium,Low
Product Manager,Low,Low,Medium,Medium,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High
Database Administrator,Low,Medium,Low,High,High,Low,High,Medium,Low,High,Low,Medium,Low,High,High,Medium,Low
UI/UX Engineer,Low,Low,High,Medium,Medium,High,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,High
AR/VR Developer,High,High,High,High,Medium,Low,Medium,High,Medium,Low,Low,Low,Medium,Low,High,Low,Medium
Application Security Engineer,Low,High,Low,High,High,Low,Medium,High,Low,Medium,High,Medium,Medium,Medium,High,High,Low
