antecedent,consequent,support,confidence,lift
quota=all india,category=open,0.385249,1.0,2.260483
quota=all india;stream=b.e/b. tech,category=open,0.384655,1.0,2.260483
district=kolkata,stream=b.e/b. tech,0.33917,1.0,1.007099
district=kolkata;quota=home state,stream=b.e/b. tech,0.231654,1.0,1.007099
category=tuition fee waiver,quota=home state,0.158937,1.0,1.626675
category=tuition fee waiver;stream=b.e/b. tech,quota=home state,0.15827,1.0,1.626675
program=computer science & engineering,stream=b.e/b. tech,0.142762,1.0,1.007099
category=open;district=kolkata,stream=b.e/b. tech,0.130593,1.0,1.007099
district=north 24 parganas,stream=b.e/b. tech,0.114566,1.0,1.007099
district=kolkata;quota=all india,category=open,0.107517,1.0,2.260483
district=kolkata;quota=all india,stream=b.e/b. tech,0.107517,1.0,1.007099
category=sc,quota=home state,0.101877,1.0,1.626675
category=sc;stream=b.e/b. tech,quota=home state,0.100913,1.0,1.626675
program=electrical engineering,stream=b.e/b. tech,0.098167,1.0,1.007099
program=information technology,stream=b.e/b. tech,0.094012,1.0,1.007099
district=nadia,stream=b.e/b. tech,0.078207,1.0,1.007099
program=computer science & engineering;quota=home state,stream=b.e/b. tech,0.076352,1.0,1.007099
category=open;program=computer science & engineering,stream=b.e/b. tech,0.07472,1.0,1.007099
category=obc - a,quota=home state,0.074423,1.0,1.626675
category=obc - a;stream=b.e/b. tech,quota=home state,0.073533,1.0,1.626675
program=electronics & communication engineering,stream=b.e/b. tech,0.0719,1.0,1.007099
category=obc - b,quota=home state,0.070936,1.0,1.626675
category=open;district=north 24 parganas,stream=b.e/b. tech,0.070565,1.0,1.007099
program=mechanical engineering,stream=b.e/b. tech,0.070119,1.0,1.007099
category=obc - b;stream=b.e/b. tech,quota=home state,0.070045,1.0,1.626675
district=south 24 parganas,stream=b.e/b. tech,0.069971,1.0,1.007099
program=computer science & engineering;quota=all india,category=open,0.066409,1.0,2.260483
program=computer science & engineering;quota=all india,stream=b.e/b. tech,0.066409,1.0,1.007099
district=north 24 parganas;quota=all india,category=open,0.066187,1.0,2.260483
district=north 24 parganas;quota=all india,stream=b.e/b. tech,0.066187,1.0,1.007099
category=st,quota=home state,0.062996,1.0,1.626675
category=st;stream=b.e/b. tech,quota=home state,0.062032,1.0,1.626675
program=civil engineering,stream=b.e/b. tech,0.057283,1.0,1.007099
program=information technology;quota=home state,stream=b.e/b. tech,0.057283,1.0,1.007099
district=hooghly,stream=b.e/b. tech,0.056615,1.0,1.007099
district=nadia;quota=home state,stream=b.e/b. tech,0.056467,1.0,1.007099
program=electrical engineering;quota=home state,stream=b.e/b. tech,0.053647,1.0,1.007099
category=open;program=electrical engineering,stream=b.e/b. tech,0.05246,1.0,1.007099
category=tuition fee waiver;district=kolkata,quota=home state,0.049714,1.0,1.626675
category=tuition fee waiver;district=kolkata,stream=b.e/b. tech,0.049714,1.0,1.007099
district=north 24 parganas;quota=home state,stream=b.e/b. tech,0.048379,1.0,1.007099
category=open;district=south 24 parganas,quota=all india,0.047859,1.0,2.595724
district=south 24 parganas;quota=all india,category=open,0.047859,1.0,2.260483
category=open;district=south 24 parganas,stream=b.e/b. tech,0.047859,1.0,1.007099
district=south 24 parganas;quota=all india,stream=b.e/b. tech,0.047859,1.0,1.007099
category=ews,quota=home state,0.047043,1.0,1.626675
category=ews;stream=b.e/b. tech,quota=home state,0.046746,1.0,1.626675
category=open;program=electronics & communication engineering,stream=b.e/b. tech,0.044817,1.0,1.007099
program=electrical engineering;quota=all india,category=open,0.04452,1.0,2.260483
program=electrical engineering;quota=all india,stream=b.e/b. tech,0.04452,1.0,1.007099
district=purba medinipur,stream=b.e/b. tech,0.043407,1.0,1.007099
district=paschim bardhaman;quota=all india,category=open,0.04311,1.0,2.260483
category=open;district=paschim bardhaman,quota=all india,0.04311,1.0,2.595724
category=open;program=information technology,stream=b.e/b. tech,0.042888,1.0,1.007099
district=jalpaiguri,quota=home state,0.041997,1.0,1.626675
program=mechanical engineering;quota=home state,stream=b.e/b. tech,0.040736,1.0,1.007099
program=electronics & communication engineering;quota=all india,category=open,0.040142,1.0,2.260483
program=electronics & communication engineering;quota=all india,stream=b.e/b. tech,0.040142,1.0,1.007099
category=sc;district=kolkata,quota=home state,0.038881,1.0,1.626675
category=sc;district=kolkata,stream=b.e/b. tech,0.038881,1.0,1.007099
district=kolkata;program=information technology,stream=b.e/b. tech,0.037991,1.0,1.007099
district=paschim bardhaman;quota=home state,stream=b.e/b. tech,0.037991,1.0,1.007099
program=computer science & engineering - tfw,category=tuition fee waiver,0.037323,1.0,6.291783
program=computer science & engineering - tfw,quota=home state,0.037323,1.0,1.626675
program=computer science & engineering - tfw,stream=b.e/b. tech,0.037323,1.0,1.007099
category=tuition fee waiver;program=computer science & engineering - tfw,quota=home state,0.037323,1.0,1.626675
program=computer science & engineering - tfw;quota=home state,category=tuition fee waiver,0.037323,1.0,6.291783
category=tuition fee waiver;program=computer science & engineering - tfw,stream=b.e/b. tech,0.037323,1.0,1.007099
program=computer science & engineering - tfw;stream=b.e/b. tech,category=tuition fee waiver,0.037323,1.0,6.291783
program=computer science & engineering - tfw;stream=b.e/b. tech,quota=home state,0.037323,1.0,1.626675
program=computer science & engineering - tfw;quota=home state,stream=b.e/b. tech,0.037323,1.0,1.007099
program=information technology;quota=all india,category=open,0.036729,1.0,2.260483
program=information technology;quota=all india,stream=b.e/b. tech,0.036729,1.0,1.007099
category=open;program=mechanical engineering,stream=b.e/b. tech,0.036358,1.0,1.007099
district=jalpaiguri;stream=b.e/b. tech,quota=home state,0.035542,1.0,1.626675
program=computer science & engineering (artificial intelligence and machine learning),stream=b.e/b. tech,0.035023,1.0,1.007099
district=kolkata;program=computer science & engineering,stream=b.e/b. tech,0.034355,1.0,1.007099
district=hooghly;quota=home state,stream=b.e/b. tech,0.033539,1.0,1.007099
category=open;program=civil engineering,stream=b.e/b. tech,0.033316,1.0,1.007099
program=electronics & communication engineering;quota=home state,stream=b.e/b. tech,0.031758,1.0,1.007099
district=cooch behar,stream=b.e/b. tech,0.030793,1.0,1.007099
district=cooch behar;quota=home state,stream=b.e/b. tech,0.030422,1.0,1.007099
category=open (pwd),quota=home state,0.029829,1.0,1.626675
program=mechanical engineering;quota=all india,category=open,0.029383,1.0,2.260483
program=mechanical engineering;quota=all india,stream=b.e/b. tech,0.029383,1.0,1.007099
