Institute,Program,average_ctc,median_ctc,highest_ctc,top_recruiters,job_titles,inst_rank,inst_key,placement_rating,year
Jadavpur University,Computer Science & Engineering - TFW,48.94,41.95,69.91,"Microsoft Pvt Ltd, Google India, Flipkart Pvt Ltd; Batch 2016","Fullstack Developer, Software Engineer",1,jadavpur university,99.91,2016
Jadavpur University,Computer Science & Engineering - TFW,48.94,41.95,69.92,"Microsoft Pvt Ltd, Google India, Flipkart Pvt Ltd; Batch 2017","Fullstack Developer, Software Engineer",1,jadavpur university,99.92,2017
Jadavpur University,Computer Science & Engineering - TFW,48.95,41.96,69.93,"Microsoft Pvt Ltd, Google India, Flipkart Pvt Ltd; Batch 2018","Fullstack Developer, Software Engineer",1,jadavpur university,99.93,2018
Jadavpur University,Computer Science & Engineering - TFW,48.96,41.96,69.94,"Microsoft Pvt Ltd, Google India, Flipkart Pvt Ltd; Batch 2019","Fullstack Developer, Software Engineer",1,jadavpur university,99.94,2019
Jadavpur University,Computer Science & Engineering - TFW,48.96,41.97,69.95,"Microsoft Pvt Ltd, Google India, Flipkart Pvt Ltd; Batch 2020","Fullstack Developer, Software Engineer",1,jadavpur university,99.95,2020
Jadavpur University,Computer Science & Engineering - TFW,48.97,41.98,69.96,"Microsoft Pvt Ltd, Google India, Flipkart Pvt Ltd; Batch 2021","Fullstack Developer, Software Engineer",1,jadavpur university,99.96,2021
Jadavpur University,Computer Science & Engineering - TFW,48.98,41.98,69.97,"Microsoft Pvt Ltd, Google India, Flipkart Pvt Ltd; Batch 2022","Fullstack Developer, Software Engineer",1,jadavpur university,99.97,2022
Jadavpur University,Computer Science & Engineering - TFW,48.99,41.99,69.98,"Microsoft Pvt Ltd, Google India, Flipkart Pvt Ltd; Batch 2023","Fullstack Developer, Software Engineer",1,jadavpur university,99.98,2023
Jadavpur University,Computer Science & Engineering - TFW,48.99,41.99,69.99,"Microsoft Pvt Ltd, Google India, Flipkart Pvt Ltd; Batch 2024","Fullstack Developer, Software Engineer",1,jadavpur university,99.99,2024
Jadavpur University,Computer Science & Engineering - TFW,49,42,70,"Microsoft Pvt Ltd, Google India, Flipkart Pvt Ltd; Batch 2025","Fullstack Developer, Software Engineer",1,jadavpur university,100,2025
Jadavpur University,Computer Science & Engineering,48.87,41.89,69.81,"Adobe Pvt Ltd, Meta India, Microsoft Pvt Ltd; Batch 2016","Data Engineer, Backend Developer",1,jadavpur university,99.89,2016
Jadavpur University,Computer Science & Engineering,48.87,41.89,69.82,"Adobe Pvt Ltd, Meta India, Microsoft Pvt Ltd; Batch 2017","Data Engineer, Backend Developer",1,jadavpur university,99.9,2017
Jadavpur University,Computer Science & Engineering,48.88,41.9,69.83,"Adobe Pvt Ltd, Meta India, Microsoft Pvt Ltd; Batch 2018","Data Engineer, Backend Developer",1,jadavpur university,99.91,2018
Jadavpur University,Computer Science & Engineering,48.89,41.9,69.84,"Adobe Pvt Ltd, Meta India, Microsoft Pvt Ltd; Batch 2019","Data Engineer, Backend Developer",1,jadavpur university,99.92,2019
Jadavpur University,Computer Science & Engineering,48.89,41.91,69.85,"Adobe Pvt Ltd, Meta India, Microsoft Pvt Ltd; Batch 2020","Data Engineer, Backend Developer",1,jadavpur university,99.93,2020
Jadavpur University,Computer Science & Engineering,48.9,41.92,69.86,"Adobe Pvt Ltd, Meta India, Microsoft Pvt Ltd; Batch 2021","Data Engineer, Backend Developer",1,jadavpur university,99.94,2021
Jadavpur University,Computer Science & Engineering,48.91,41.92,69.87,"Adobe Pvt Ltd, Meta India, Microsoft Pvt Ltd; Batch 2022","Data Engineer, Backend Developer",1,jadavpur university,99.95,2022
Jadavpur University,Computer Science & Engineering,48.92,41.93,69.88,"Adobe Pvt Ltd, Meta India, Microsoft Pvt Ltd; Batch 2023","Data Engineer, Backend Developer",1,jadavpur university,99.96,2023
Jadavpur University,Computer Science & Engineering,48.92,41.93,69.89,"Adobe Pvt Ltd, Meta India, Microsoft Pvt Ltd; Batch 2024","Data Engineer, Backend Developer",1,jadavpur university,99.97,2024
Jadavpur University,Computer Science & Engineering,48.93,41.94,69.9,"Adobe Pvt Ltd, Meta India, Microsoft Pvt Ltd; Batch 2025","Data Engineer, Backend Developer",1,jadavpur university,99.98,2025
