Sr.No,Round,Institute,Program,Stream,Quota,Category,Opening Rank,Closing Rank
1,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Civil Engineering,B.E/B. Tech,Home State,OBC - A,11222.0,12820
2,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering,B.E/B. Tech,Home State,OBC - A,9856.0,14544
3,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Civil Engineering,B.E/B. Tech,Home State,OBC - A,11778.0,16605
4,Round 1,"Abacus Institute of Engineering & Management, Mogra, Hooghly",Civil Engineering,B.E/B. Tech,Home State,OBC - A,31869.0,31869
5,Round 1,Jadavpur University,Civil Engineering,B.E/B. Tech,Home State,OBC - A,4177.0,6176
6,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Civil Engineering,B.E/B. Tech,Home State,OBC - A,62915.0,62915
7,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,15499.0,15865
8,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,13346.0,15387
9,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,4485.0,7503
10,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,12342.0,13848
11,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,8275.0,10762
12,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,9365.0,10326
13,Round 1,"Abacus Institute of Engineering & Management, Mogra, Hooghly",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,39287.0,39287
14,Round 1,"Calcutta Institute of Technology, Uluberia, Howrah",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,49763.0,49763
15,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,58196.0,58196
16,Round 1,"Ideal Institute of Engineering, Kalyani",Electrical Engineering,B.E/B. Tech,Home State,OBC - A,61063.0,61063
17,Round 1,Jadavpur University,Electrical Engineering,B.E/B. Tech,Home State,OBC - A,2462.0,3169
18,Round 1,University Of Calcutta,Electrical Engineering,B.E/B. Tech,Home State,OBC - A,4713.0,4713
19,Round 1,"Govt. College of Engineering & Ceramic Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,OBC - A,9759.0,10842
20,Round 1,"Seacom Engineering College, Sankrail, Howrah",Information Technology,B.E/B. Tech,Home State,OBC - B,61651.0,61651
21,Round 1,Jadavpur University,Mechanical Engineering,B.E/B. Tech,Home State,OBC - B,603.0,1124
22,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Mechanical Engineering,B.E/B. Tech,Home State,OBC - B,4533.0,4666
23,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Mechanical Engineering,B.E/B. Tech,Home State,OBC - B,9286.0,9289
24,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B. Tech,Home State,OBC - B,8191.0,8662
25,Round 1,Jadavpur University,Chemical Engineering,B.E/B. Tech,Home State,OBC - B,1047.0,1414
26,Round 1,"Durgapur Institute of Advanced Technology & Management, Durgapur",Mechanical Engineering,B.E/B. Tech,Home State,OBC - B,64351.0,64351
28,Round 1,University Of Calcutta,Chemical Engineering,B.E/B. Tech,Home State,OBC - B,2565.0,2565
34,Round 1,"Calcutta Institute of Technology, Uluberia, Howrah",Chemical Engineering,B.E/B. Tech,Home State,OBC - B,28366.0,31943
47,Round 1,Jadavpur University,Production Engineering,B.E/B. Tech,Home State,OBC - B,1440.0,1965
61,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,OBC - A,4219.0,5754
62,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,OBC - A,7497.0,10864
63,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Information Technology,B.E/B. Tech,Home State,OBC - A,6865.0,7411
64,Round 1,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology,B.E/B. Tech,Home State,OBC - A,11522.0,11933
65,Round 1,"Camellia Institute of Technology, Badu Road, Madhyamgram",Information Technology,B.E/B. Tech,Home State,OBC - A,51314.0,51314
67,Round 1,"Budge Budge Institute of Technology, Budge-Budge",Information Technology,B.E/B. Tech,Home State,OBC - A,42583.0,62153
68,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Information Technology,B.E/B. Tech,Home State,OBC - A,32645.0,32645
69,Round 1,"Jis College of Engineering, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,OBC - A,33184.0,33184
70,Round 1,Jadavpur University,Information Technology,B.E/B. Tech,Home State,OBC - A,759.0,1207
71,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Information Technology,B.E/B. Tech,Home State,OBC - A,26294.0,26294
72,Round 1,"Maulana Abul Kalam Azad University of Technology, West Bengal",Information Technology,B.E/B. Tech,Home State,OBC - A,8194.0,10437
74,Round 1,University Of Calcutta,Information Technology,B.E/B. Tech,Home State,OBC - A,3193.0,3366
75,Round 1,"Abacus Institute of Engineering & Management, Mogra, Hooghly",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,57381.0,57381
76,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,11077.0,16654
77,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,5581.0,6935
78,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,14489.0,18317
79,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,12678.0,14476
80,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,15747.0,16010
81,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,7233.0,11892
82,Round 1,Jadavpur University,Mechanical Engineering,B.E/B. Tech,Home State,OBC - A,2683.0,4416
83,Round 1,Jadavpur University,Chemical Engineering,B.E/B. Tech,Home State,OBC - A,3341.0,4747
